"Remove","Rimuovi"
"Qty to Invoice","Qtà da fatturare"
"Invoice History","Cronologia fattura"
"Invoice Comments","Commenti fattura"
"Invoice Totals","Totali fattura"
"Capture Amount","Importo da acquisire"
"Capture Online","Acquisizione online"
"Capture Offline","Acquisizione offline"
"Not Capture","Nessuna acquisizione"
"The invoice will be created offline without the payment gateway.","La fattura verrà creata offline senza il gateway di pagamento."
"Email Copy of Invoice","email di copia della fattura"
"Items Invoiced","Articoli fatturati"
"Total Tax","Totale tasse"
"From Name","Dal nome"
"To Name","Al nome"
"Add Order Comments","Aggiungi commenti ordine"
"Notification Not Applicable","Notifica non applicabile"
"the order confirmation email was sent","L\'email di conferma dell\'ordine è stata inviata."
"the order confirmation email is not sent","L\'email di conferma dell\'ordine non è stata inviata."
"Order Date (%1)","Data ordine (%1)"
"Purchased From","Acquistato dal"
"Link to the New Order","Link al nuovo ordine"
"Link to the Previous Order","Link all\'ordine precendete"
"Placed from IP","Effettuato dall\'IP"
"%1 / %2 rate:","%1 / %2 tasso:"
"Item Status","Status articolo"
"Original Price","Prezzo originale"
"Tax Percent","Percentuale tasse"
"Transaction Data","Dati transazione"
"Parent Transaction ID","ID transazione parente"
"Transaction Type","Tipo transazione"
"Is Closed","Chiuso"
"Child Transactions","Transazioni figlia"
"Transaction Details","Dettagli transazione"
"Gift Message for this Order","Messaggio regalo per questo ordine"
"Shipped By","Spedito da"
"Tracking Number","Numero di tracciamento"
"Billing Last Name","Cognome fattura"
"Find Order By:","Trova ordine da:"
"ZIP Code","Codice postale"
"Billing ZIP Code","Codice postale fattura"
"Print All Refunds","Stampa tutti i rimborsi"
"Refund #","Rimborso #"
"Print Refund","Stampa rimborso"
"You have placed no orders.","Non ha effettuato nessun ordine."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Data ordine:</span> %1"
"No shipping information available","Nessuna informazioni di spedizione disponibile"
"Print Order","Stampa ordine"
"Subscribe to Order Status","Iscriviti allo status dell\'ordine"
"Print All Invoices","Stampa tutte le fatture"
"Invoice #","Fattura #"
"Print Invoice","Stampa fattura"
"Qty Invoiced","Qtà fatturata"
"Refund #%1","Rimborso #%1"
"Invoice #%1","Fattura #%1"
"Shipment #%1","Spedizione #%1"
"Items Shipped","Articoli spediti"
"Qty Shipped","Qtà spedita"
"View All","Visualizza tutto"
"Gift Message for This Order","Messaggio regalo per questo ordine"
"About Your Order","Riguardo al tuo ordine"
"Shipment Comments","Commenti spedizione"
"Gift Options for ","Opzioni regalo per"
"Ok","Ok"
"Anchor Custom Title","Titolo personalizzato ancorato"
"Phone","Numero di telefono"
"Default Template","Template predefinito"
"Minimum Order Amount","Importo minimo ordine"
"Comma-separated","Separati dalla virgola"
"Hide Customer IP","Nascondi IP cliente"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Scegli se l\'IP del cliente deve essere mostrato negli ordini, nella fatture, nelle spedizioni e nelle note di credito."
"Checkout Totals Sort Order","Ordinamento totali checkout"
"Allow Reorder","Consenti riordino"
"Invoice and Packing Slip Design","Design fattura e bolla di accompagnamento"
"Logo for PDF Print-outs (200x50)","Logo per stampe PDF (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Il tuo logo predefinito verrà utilizzato nei documenti PDF e HTML.<br />(jpeg, tiff, png) Se nel pdf l'immagine è disorta prova ad utilizzare file di dimensioni maggiori.
                    "
"Logo for HTML Print View","Logo per versione di stampa HTML"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo solo per documenti HTML. Se vuoto verrà utilizzato quello predefinito.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Importo minimo"
"Subtotal after discount","Subtotale dopo lo sconto"
"Description Message","Descrizione messaggio"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Questo messaggio verrà mostrato nel carrello quando il subtotale (dopo lo sconto) è inferiore all'importo minimo consentito."
"Error to Show in Shopping Cart","Errore da mostrare nel carrello"
"Validate Each Address Separately in Multi-address Checkout","Convalida ogni indirizzo separatamente nel checkout con indirizzi multipli."
"Multi-address Description Message","Messaggio descrizione indirizzi multipli"
"We'll use the default description above if you leave this empty.","Se lasci questo vuoto utilizzeremo la descrizione predefinita mostrata sopra."
"Multi-address Error to Show in Shopping Cart","Errore indirizzi multipli da mostrare nel carrello"
"We'll use the default error above if you leave this empty.","Se lasci questo vuoto utilizzeremo l'errore predefinito mostrato sopra."
"Use Aggregated Data (beta)","Utilizza dati aggregati (beta)"
"Sales Emails","Email di vendita"
"New Order Confirmation Email Sender","Mittente email conferma nuovo ordine"
"New Order Confirmation Template","Template email conferma nuovo ordine"
"New Order Confirmation Template for Guest","Template email conferma nuovo ordine per gli ospiti"
"Send Order Email Copy To","Invia copia email ordine a"
"Send Order Email Copy Method","Metodo invio copia email ordine"
"Order Comment Email Sender","Mittente email commenti ordine"
"Order Comment Email Template","Template email commenti ordine"
"Order Comment Email Template for Guest","Template email commenti ordine per gli ospiti"
"Send Order Comment Email Copy To","Invia copia email commento ordine a"
"Send Order Comments Email Copy Method","Metodo invio copia email commenti ordine"
"Invoice Email Sender","Mittente email fattura"
"Invoice Email Template","Template email fattura"
"Invoice Email Template for Guest","Template email fattura per gli ospiti"
"Send Invoice Email Copy To","Invia copia email fattura a"
"Send Invoice Email Copy Method","Metodo invio copia email fattura"
"Invoice Comment Email Sender","Mittente email commenti fattura"
"Invoice Comment Email Template","Template email commenti fattura"
"Invoice Comment Email Template for Guest","Template email commenti fattura per gli ospiti"
"Send Invoice Comment Email Copy To","Invia copia email commenti fattura a"
"Send Invoice Comments Email Copy Method","Metodo invio copia email commenti fattura"
"Shipment","Spedizione"
"Shipment Email Sender","Mittente email spedizione"
"Shipment Email Template","Template email spedizione"
"Shipment Email Template for Guest","Template email spedizione per gli ospiti"
"Send Shipment Email Copy To","Invia copia email spedizione a"
"Send Shipment Email Copy Method","Metodo invio copia email spedizione"
"Shipment Comment Email Sender","Mittente email commenti spedizione"
"Shipment Comment Email Template","Template email commenti spedizione"
"Shipment Comment Email Template for Guest","Template email commenti spedizione per gli ospiti"
"Send Shipment Comment Email Copy To","Invia copia email commenti spedizione a"
"Send Shipment Comments Email Copy Method","Metodo invio copia email commenti spedizione"
"Credit Memo Email Sender","Mittente email nota di credito"
"Credit Memo Email Template","Template email nota di credito"
"Credit Memo Email Template for Guest","Template email nota di credito per gli ospiti"
"Send Credit Memo Email Copy To","Invia copia email nota di credito a"
"Send Credit Memo Email Copy Method","Metodo invio copia email nota di credito"
"Credit Memo Comment Email Sender","Mittente email commenti nota di credito"
"Credit Memo Comment Email Template","Template email commenti nota di credito"
"Credit Memo Comment Email Template for Guest","Template email commenti nota di credito per gli ospiti"
"Send Credit Memo Comment Email Copy To","Invia copia email commenti nota di credito a"
"Send Credit Memo Comments Email Copy Method","Metodo invio copia email commenti nota di credito"
"PDF Print-outs","Stampe PDF"
"Display Order ID in Header","Mostra ID ordine in Header"
"Orders and Returns Search Form","Modulo di ricerca ordini e resi"
"PDF Credit Memos","PDF note di credito"
"PDF Invoices","PDF fatture"
"Invoice Date","Data fattura"
"ZIP/Post Code","Codice postale"
"Signed-up Point","Punto registrato"
"order-header","Intestazione ordine"
"New Order RSS","RSS nuovo ordine"
"Print Invoices","Stampa fatture"
"Print Packing Slips","Stampa bolle di accompagnamento"
"Print Credit Memos","Stampa note di credito"
"Print All","Stampa tutto"
"Print Shipping Labels","Stampa etichette spedizione"
"Ship Date","Data spedizione"
"Total Quantity","Totale quantità"
"Default Status","Status predefinito"
"State Code and Title","Titolo e codice stato"
"PDF Packing Slips","PDF bolle di accompagnamento"
"Status can't be unassigned, because it is used by existing order(s).","Lo status non può essere disassegnato perché è utilizzato da ordini esistenti."
