"All","Tutto"
"Products per Page on List Default Value","Valore predefinito per il numero di prodotti per pagina nella modalità a lista"
"Use Flat Catalog Category","Usa catalogo Flat categoria"
"Use Flat Catalog Product","Usa catalogo Flat prodotto"
"Product Listing Sort by","Lista prodotti ordinata per"
"Allow All Products per Page","Abilita Tutti i prodotti in una pagina"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Scegliere se mostrare l\'opzione ""Tutto"" nel menu dropdown ""Mostra X per pagina"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Consenti Media URL dinamici per le categorie e i prodotti"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Es. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. L'analisi delle direttive dinamiche influisce sulle prestazioni."
"Product Image Placeholders","Segnaposto immagine prodotto"
"Search Engine Optimization","Ottimizzazione per i motori di ricerca"
"Category URL Suffix","Suffisso URL categorie"
"You need to refresh the cache.","Devi aggiornare la cache."
"Product URL Suffix","Suffisso URL prodotto"
"Use Categories Path for Product URLs","Usa percorso categorie per URL prodotto"
"Create Permanent Redirect for URLs if URL Key Changed","Crea un reindirizzamento permanente per gli URL se la chiave URL cambia"
"Page Title Separator","Separatore titolo pagina"
"Use Canonical Link Meta Tag For Categories","Utilizza il link canonico meta tag per le categorie"
"Use Canonical Link Meta Tag For Products","Utilizza il link canonico meta tag per i prodotti"
"Catalog Price Scope","Ambito prezzo catalogo"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Questo definisce l\'ambito della valuta di base (""Impostazioni valuta"" > ""Opzioni valuta"" > ""Valuta di base"")."
"Category Top Navigation","Navigazione categorie"
"Date & Time Custom Options","Opzioni personalizzate data e ora"
"Use JavaScript Calendar","Utilizza calendario JavaScript"
"Date Fields Order","Ordine campi data"
"Time Format","Formato data"
"Year Range","Intervallo anni"
"Please use a four-digit year format.","Utilizzare un formato anno a quattro caratteri."
"Product Image Watermarks","Filigrana immagine prodotto"
"Watermark Default Size","Dimensione predefinita filigrana"
"Watermark Opacity, Percent","Opacità filigrana in percentuale"
"Watermark","Filigrana"
"Watermark Position","Posizione filigrana"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizza URL statici per i contenuti Media nel WYSIWYG per il catalogo"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Si applica solo a categorie ed ai prodotti del catalogo. I contenuti multimediali verranno inseriti all\'interno dell\'editor come URL statici. Il contenuto multimediale non verrà aggiornato se l\'URL base di sistema cambia."
"Minimum Advertised Price","Prezzo minimo pubblicizzato"
"Enable MAP","Abilita MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Attenzione!</strong> Applicando il MAP come predefinito verranno nascosti tutti i prezzi prodotto nel frontend."
"Display Actual Price","Mostra prezzo attuale"
"Default Popup Text Message","Testo messaggio Popup predefinito"
"Default ""What's This"" Text Message","Messaggio ""Cos'è questo"" predefinito"
"Product Flat Data","Dati Flat prodotto"
"Reorganize EAV product structure to flat structure","Riorganizza struttura EAV prodotto in una struttura Flat"
"Category Flat Data","Dati Flat categoria"
"Reorganize EAV category structure to flat structure","Riorganizza struttura EAV categoria in una struttura Flat"
"Indexed category/products association","Associazione categorie/prodotti indicizzati"
"Product Categories","Categorie prodotto"
"Indexed product/categories association","Associazione prodotti/categorie inidicizzati"
"Product Price","Prezzo prodotto"
"Index product prices","Indice prezzi prodotto"
"Catalog New Products List","Lista nuovi prodotti catalogo"
"List of Products that are set as New","Lista di prodotti impostati come nuovi"
"Display Type","Mostra tipo"
"All products - recently added products, New products - products marked as new","Tutti i prodotti – prodotti aggiunti di recente, Nuovi prodotti – prodotti segnati come nuovi"
"All products","Tutti i prodotti"
"New products","Nuovi prodotti"
"Display Page Control","Mostra pagina di controllo"
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da mostrare"
"New Products Grid Template","Template a griglia per nuovi prodotti"
"New Products List Template","Template a lista per nuovi prodotti"
"New Products Images and Names Template","Nomi template e immagini per nuovi prodotti"
"New Products Names Only Template","Template solo per nome nuovi prodotti"
"New Products Images Only Template","Template immagini solo per nuovi prodotti"
"Cache Lifetime (Seconds)","Durata cache (Secondi)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 predefinito, se non impostato. Per aggiornare istantaneamente, svuotare la cache dell\'output dei blocchi HTML."
"Catalog Product Link","Link catalogo prodotti"
"Link to a Specified Product","Link ad un prodotto specifico"
"If empty, the Product Name will be used","Se vuoto, verrà utilizzato il nome prodotto"
"Product Link Block Template","Template blocco link prodotto"
"Product Link Inline Template","Template inline link prodotto"
"Catalog Category Link","Link catalogo categorie"
"Link to a Specified Category","Link ad una categoria specifica"
"If empty, the Category Name will be used","Se vuoto, verrà utilizzato il nome categoria"
"Category Link Block Template","Template blocco link categoria"
"Category Link Inline Template","Template inline link categoria"
"Set","Imposta"
"none","Nessuno"
"Overview","Panoramica"
"Field ""%1"" was not found in DO ""%2"".","Il campo ""%1"" non è stato trovato in DO ""%2""."
