"Custom","Personalizzato"
"Add Store Code to Urls","Aggiungi codice negozio agli URL"
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Attenzione!</strong> Quando si usa il codice negozio negli URL, in qualche caso il sistema potrebbe non funzionare correttamente se gli URL senza codice negozio sono specificati in servizi di terze parti (es. PayPal etc.).
                    "
"Auto-redirect to Base URL","Auto-reindirizzamento al base URL"
"Search Engine Optimization","Ottimizzazione per i motori di ricerca"
"Use Web Server Rewrites","Utilizza i rewrites del web server"
"Base URLs","Base URLs"
"Specify URL or {{base_url}} placeholder.","Specificare URL o {{base_url}} segnaposto."
"Base Link URL","Base Link URL"
"Base URL for Static View Files","Base URL per vista statica file"
"May be empty or start with {{unsecure_base_url}} placeholder.","Potrebbe essere vuoto o iniziare con un {{unsecure_base_url}} segnaposto."
"Base URL for User Media Files","Base URL per i media file dell\'utente"
"Base URLs (Secure)","Base URLs (Sicuro)"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Specifica URL o {{base_url}}, o {{unsecure_base_url}} segnaposto."
"Secure Base Link URL","Base Link URL sicuro"
"Secure Base URL for Static View Files","Base URL sicuro per vista statica file"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Potrebbe essere vuoto o iniziare con {{secure_base_url}}, o {{unsecure_base_url}} segnaposto."
"Secure Base URL for User Media Files","Base URL sicuro per i file media dell\'utente"
"Use Secure URLs in Frontend","Usa URL sicuri nel Frontend"
"Use Secure URLs in Admin","Usa URL sicuri in Admin"
"Offloader header","Offloader header"
"Default Pages","Pagine predefinite"
"Default Web URL","Web URL predefinito"
"Default No-route URL","No-route URL predefinito"
"Default Cookie Settings","Impostazioni predefinite cookie"
"Cookie Lifetime","Durata cookle"
"Cookie Path","Percorso cookie"
"Cookie Domain","Dominio cookie"
"Use HTTP Only","Usa solo HTTP"
"Cookie Restriction Mode","Modalità restrizione cookie"
"Session Validation Settings","Impostazioni convalida sessione"
"Validate REMOTE_ADDR","Convalida REMOTE_ADDR"
"Validate HTTP_VIA","Convalida HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Convalida HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Convalida HTTP_USER_AGENT"
"Use SID on Frontend","Usa SID nel Frontend"
"Allows customers to stay logged in when switching between different stores.","Permetti ai clienti di rimanere loggati quando passano tra negozi differenti."
"Cache Type","Tipo di cache"
"Tags","Tags"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Errore 404</h1><p>Pagina non trovata.</p>"
"Variable ID","ID variabile"
"Options","Opzioni"
"Magento Admin","Magento Admin"
"Community Edition","Community Edition"
